2026-03-09 18:08:20,604 | INFO | __main__ | User 886635512 requested full game list
2026-03-09 18:08:20,604 | INFO | data | Reading games for user 886635512
2026-03-09 18:08:20,604 | INFO | data | Reading all data from file
2026-03-09 18:08:20,605 | INFO | data | Data successfully loaded
2026-03-09 18:08:20,605 | INFO | data | User 886635512 has 4 games
2026-03-09 18:08:20,670 | INFO | aiogram.event | Update id=702991390 is handled. Duration 67 ms by bot id=8207144654
2026-03-09 18:08:28,315 | INFO | aiogram.event | Update id=702991391 is handled. Duration 88 ms by bot id=8207144654
2026-03-09 18:08:30,927 | INFO | aiogram.event | Update id=702991392 is handled. Duration 71 ms by bot id=8207144654
2026-03-09 18:08:39,722 | INFO | __main__ | User 886635512 trying to delete game: laslld
2026-03-09 18:08:39,723 | INFO | data | Attempting to delete game 'laslld' for user 886635512
2026-03-09 18:08:39,723 | INFO | data | Reading all data from file
2026-03-09 18:08:39,724 | INFO | data | Data successfully loaded
2026-03-09 18:08:39,725 | INFO | data | Game 'laslld' successfully deleted for user 886635512
2026-03-09 18:08:39,725 | INFO | __main__ | Game deleted: laslld
2026-03-09 18:08:39,797 | INFO | aiogram.event | Update id=702991393 is handled. Duration 75 ms by bot id=8207144654
2026-03-09 18:08:47,402 | INFO | __main__ | User 886635512 started genre search
2026-03-09 18:08:47,489 | INFO | aiogram.event | Update id=702991394 is handled. Duration 86 ms by bot id=8207144654
2026-03-09 18:08:51,323 | INFO | __main__ | User 886635512 searching games by genre: action
2026-03-09 18:08:51,323 | INFO | data | Reading games for user 886635512
2026-03-09 18:08:51,324 | INFO | data | Reading all data from file
2026-03-09 18:08:51,324 | INFO | data | Data successfully loaded
2026-03-09 18:08:51,324 | INFO | data | User 886635512 has 3 games
2026-03-09 18:08:51,325 | INFO | __main__ | Found 1 games for genre action
2026-03-09 18:08:51,399 | INFO | aiogram.event | Update id=702991395 is handled. Duration 78 ms by bot id=8207144654
2026-03-09 18:08:55,061 | INFO | __main__ | User 886635512 requested clear games
2026-03-09 18:08:55,121 | INFO | aiogram.event | Update id=702991396 is handled. Duration 60 ms by bot id=8207144654
2026-03-09 18:08:55,840 | INFO | __main__ | User 886635512 confirmed clearing games
2026-03-09 18:08:55,841 | INFO | data | Clearing all games for user 886635512
2026-03-09 18:08:55,841 | INFO | data | Reading all data from file
2026-03-09 18:08:55,843 | INFO | data | Data successfully loaded
2026-03-09 18:08:55,846 | INFO | data | All games cleared for user 886635512
2026-03-09 18:08:55,987 | INFO | aiogram.event | Update id=702991397 is handled. Duration 147 ms by bot id=8207144654
2026-03-09 18:08:58,703 | INFO | __main__ | User 886635512 requested full game list
2026-03-09 18:08:58,703 | INFO | data | Reading games for user 886635512
2026-03-09 18:08:58,703 | INFO | data | Reading all data from file
2026-03-09 18:08:58,704 | INFO | data | Data successfully loaded
2026-03-09 18:08:58,704 | INFO | data | User 886635512 has 0 games
